task,algorithm,nominal_operations,actual_operations,iterations,samples,seed,episode_cost,planning_time_seconds,segment_horizon,total_horizon,execution_fraction,execution_horizon,planning_calls,randomizations,knots,spline,frequency,max_episode_steps,base_noise,candidate,parameters
double_cart_pole,cbo,8192,8192,16,512,0,2269.85693359375,4.9605420785956085,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,8192,8192,16,512,1,2242.997802734375,4.971451809164137,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,8192,8192,16,512,2,3337.168701171875,4.966610654722899,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,8192,8192,16,512,3,1458.1397705078125,4.982393218204379,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,8192,8192,16,512,4,1676.7530517578125,4.990396272856742,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,1,4096,0,1341.345458984375,0.42735725501552224,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,1,4096,1,2021.07861328125,0.41866581374779344,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,1,4096,2,1393.4410400390625,0.4190111276693642,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,1,4096,3,1227.812255859375,0.41947400150820613,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,1,4096,4,1357.82177734375,0.4195157280191779,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,2,2048,0,1495.2449951171875,0.7501015737652779,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
