algorithm,nominal_operations,actual_operations,iterations,samples,mean_cost,std_cost,mean_planning_time_seconds,std_planning_time_seconds,finite_seeds,seed_count,video_seed,video_seed_cost
cbo,4096,4096,2,2048,1553.996826171875,112.44904407391316,0.7413326733745634,0.005059959882868423,5,5,1,1439.5667724609375
cbo,4096,4096,4,1024,1482.9831787109374,328.3010646133407,1.3375376458279788,0.0015818422623117842,5,5,2,1043.0728759765625
cbo,4096,4096,8,512,2686.952392578125,850.3232222664903,2.491044180188328,0.007669014707691985,5,5,2,1850.763916015625
cbo,4096,4096,16,256,2740.671044921875,1443.3094723405754,4.629014133382588,0.0008691422455948082,5,5,4,1182.2969970703125
cbo,8192,8192,1,8192,1695.66484375,242.46507554677802,0.4716552132740617,0.003873177391587475,5,5,3,1450.52734375
cbo,8192,8192,2,4096,1422.3455688476563,376.5967078810788,0.8266398290172219,0.0031213400870867243,5,5,4,981.8410034179688
cbo,8192,8192,4,2048,1795.7358642578124,845.111160745338,1.48779236683622,0.001794374009408622,5,5,0,1254.912353515625
cbo,8192,8192,8,1024,1607.9131103515624,421.91618088927237,2.6625929621979596,0.0006102929644026003,5,5,3,1226.212158203125
cbo,8192,8192,16,512,2196.983251953125,728.694023963266,4.974278806708753,0.012053075937305386,5,5,3,1458.1397705078125
mppi_cma,512,512,1,512,1603.6931640625,425.90474114389895,0.32436260152608154,0.0017881045963024176,5,5,4,1259.26220703125
mppi_cma,512,512,2,256,1588.40654296875,373.8756795467224,0.5952767095528543,0.0063596084652764355,5,5,2,1128.82275390625
mppi_cma,512,512,4,128,1497.9095703125,286.26771891455996,1.1704997966066002,0.009970459108889789,5,5,0,1169.6490478515625
mppi_cma,512,512,8,64,1416.8260986328125,197.64053309039107,2.287260953616351,0.008803576792914143,5,5,3,1278.9482421875
mppi_cma,512,512,16,32,1979.639697265625,697.7175871266757,4.937467694003135,0.06800249844527921,5,5,3,1255.283203125
mppi_cma,1024,1024,1,1024,2070.0283935546877,555.7357140788574,0.3374950034543872,0.004580895797485743,5,5,0,1310.3724365234375
mppi_cma,1024,1024,2,512,1237.2495971679687,162.5589395553516,0.6290467498824001,0.005166669594974172,5,5,4,981.9786987304688
mppi_cma,1024,1024,4,256,1234.3048095703125,172.33964180654053,1.1883492718450726,0.003094657274563346,5,5,0,1104.598876953125
mppi_cma,1024,1024,8,128,1270.1272216796874,145.79555997896804,2.3201075413264336,0.017720653296820814,5,5,1,1058.9052734375
mppi_cma,1024,1024,16,64,1498.70888671875,338.25810210814046,4.543956996314227,0.023193297906001168,5,5,3,1275.6417236328125
mppi_cma,2048,2048,1,2048,1631.1593017578125,298.3259291529466,0.3744122080504894,0.0036476173386451685,5,5,0,1200.910888671875
mppi_cma,2048,2048,2,1024,1410.3462646484375,241.9556298017042,0.6668120358139277,0.0038262339080279415,5,5,3,1154.123779296875
mppi_cma,2048,2048,4,512,1235.043505859375,132.26681751668994,1.2529375519603492,0.0025433265430774214,5,5,2,1122.78369140625
mppi_cma,2048,2048,8,256,1157.088671875,169.08105517492325,2.382196409162134,0.01413562601818975,5,5,2,977.8214721679688
mppi_cma,2048,2048,16,128,1243.5815063476562,265.7288994120743,4.592927754484117,0.015882219068471856,5,5,4,1013.5407104492188
mppi_cma,4096,4096,1,4096,1420.627685546875,182.23820228258919,0.4211116129532456,0.004929816199314202,5,5,4,1231.8896484375
mppi_cma,4096,4096,2,2048,1115.2045288085938,193.81404280646254,0.745547520276159,0.00932897332645658,5,5,0,947.99951171875
mppi_cma,4096,4096,4,1024,1153.7168212890624,70.86203824332487,1.3579667611047626,0.008514916479131353,5,5,0,1092.64453125
mppi_cma,4096,4096,8,512,1167.650244140625,144.146639728257,2.4817255767062307,0.007971963189775114,5,5,1,1028.206298828125
mppi_cma,4096,4096,16,256,1499.6562255859376,141.07189006326317,4.6997889704070985,0.03360347255523521,5,5,3,1336.38623046875
mppi_cma,8192,8192,1,8192,1281.9544921875,169.62603215791788,0.47762448536232116,0.002735065291290098,5,5,1,1034.0762939453125
mppi_cma,8192,8192,2,4096,1107.9578125,168.8642527372144,0.8431230164133012,0.01022818293912259,5,5,3,941.0159912109375
mppi_cma,8192,8192,4,2048,1060.5712768554688,123.7315425676599,1.576398563105613,0.023806335978797416,5,5,1,924.251953125
mppi_cma,8192,8192,8,1024,1087.5697998046876,123.9484053465838,2.7312558005563914,0.03522304156472927,5,5,3,915.1910400390625
mppi_cma,8192,8192,16,512,1104.3340454101562,148.31220005335018,5.000919487513602,0.03295634156728142,5,5,2,934.1652221679688
cmaes,512,512,1,512,2153.566455078125,460.89898843243003,0.3283422832377255,0.004841605016618768,5,5,3,1508.6025390625
cmaes,512,512,2,256,3349.6367431640624,1237.339088175629,0.5928478786721826,0.005870606447100504,5,5,4,1246.4476318359375
cmaes,512,512,4,128,3289.0028564453123,1294.2811126935535,1.178955698106438,0.007803151350451661,5,5,0,1739.9031982421875
cmaes,512,512,8,64,4111.139404296875,798.2842306331198,2.3055533561855555,0.01713108054750775,5,5,4,2892.72607421875
cmaes,512,512,16,32,3773.891650390625,997.8367540772068,5.016407608613372,0.053951746241949504,5,5,4,2699.623291015625
cmaes,1024,1024,1,1024,2050.531103515625,296.796658402452,0.34557245383039115,0.0039265611844404,5,5,2,1765.434326171875
cmaes,1024,1024,2,512,3120.871630859375,930.2162524644418,0.6471126133576035,0.006232835307000194,5,5,2,2440.83642578125
cmaes,1024,1024,4,256,3887.86962890625,604.3515828630674,1.20569003270939,0.00780777961767278,5,5,3,3184.9560546875
cmaes,1024,1024,8,128,4722.678857421875,529.5575268945246,2.367792720161378,0.018513989645072948,5,5,1,4070.480224609375
cmaes,1024,1024,16,64,4456.65947265625,699.9102485514246,4.640430989861488,0.024211936469424954,5,5,3,3565.19189453125
cmaes,2048,2048,1,2048,1745.245458984375,689.3055159880506,0.38743928223848345,0.004061831680484814,5,5,4,1224.8502197265625
cmaes,2048,2048,2,1024,3200.6873046875,742.2964824402785,0.6934136871248484,0.005879234181602676,5,5,0,2151.604248046875
cmaes,2048,2048,4,512,4149.077783203125,1071.2798870049066,1.2884334053844213,0.01385553000340874,5,5,0,3340.094482421875
cmaes,2048,2048,8,256,4591.126953125,520.2269959014227,2.401537886634469,0.04076546311710205,5,5,1,4148.87255859375
cmaes,2048,2048,16,128,5367.16015625,861.8368936611283,4.786651496868581,0.01980307127294951,5,5,4,4141.95654296875
cmaes,4096,4096,1,4096,1873.2058349609374,678.1541635572112,0.42532775765284897,0.0032922132203476863,5,5,0,1286.4178466796875
cmaes,4096,4096,2,2048,2403.60009765625,702.7014353323214,0.7471487337723375,0.006187590688743338,5,5,1,1325.7509765625
cmaes,4096,4096,4,1024,4304.647021484375,1619.7190935675292,1.4060393677093088,0.02284421267050584,5,5,3,2217.7998046875
cmaes,4096,4096,8,512,5327.45439453125,457.52931091012846,2.5934000328183173,0.0012777597186054478,5,5,4,4831.16943359375
cmaes,4096,4096,16,256,5000.54140625,1287.6152735764585,4.839988804608583,0.0376425111681382,5,5,4,3241.21875
cmaes,8192,8192,1,8192,1684.7425048828125,345.92178038612354,0.47711829086765645,0.005297229827492005,5,5,3,1367.12890625
cmaes,8192,8192,2,4096,2684.351611328125,954.7147220547456,0.839388676173985,0.007151623493883763,5,5,4,1446.3876953125
cmaes,8192,8192,4,2048,5404.109619140625,1374.4076178387293,1.501574990246445,0.004471096142416914,5,5,1,3976.055419921875
cmaes,8192,8192,8,1024,6058.589404296875,2792.6525233010025,2.687178155872971,0.0013088869540364592,5,5,3,2996.968505859375
cmaes,8192,8192,16,512,5194.3677734375,954.8389389115011,5.025036438275128,0.013045851188860163,5,5,2,4045.75
cem,512,512,1,512,1647.7310302734375,361.31953239160396,0.3232713733799756,0.004213338257954292,5,5,2,1221.860595703125
cem,512,512,2,256,1284.621142578125,164.62569456656345,0.5892807222902775,0.004983993639832335,5,5,1,1139.5458984375
cem,512,512,4,128,1252.52509765625,74.91488162709865,1.1615880287252367,0.003968837969603409,5,5,0,1144.32373046875
cem,512,512,8,64,1430.844921875,183.4024285718187,2.248351546563208,0.008354530821658851,5,5,1,1231.361083984375
cem,512,512,16,32,1372.0839599609376,351.9900358859956,4.923594841919839,0.017725503084268533,5,5,3,1148.808837890625
cem,1024,1024,1,1024,1548.8752197265626,385.33285812057767,0.3422227923758328,0.0075193143936379166,5,5,3,1146.8975830078125
cem,1024,1024,2,512,1541.3305419921876,246.40883562518124,0.6343030682764947,0.006727649947896114,5,5,0,1284.22900390625
cem,1024,1024,4,256,1451.1546142578125,124.49612794613923,1.174869586713612,0.009854615648100683,5,5,0,1286.8671875
cem,1024,1024,8,128,1324.9294921875,160.6161061590034,2.2997693455778063,0.016112583554109636,5,5,3,1135.7271728515625
cem,1024,1024,16,64,1377.9516845703124,269.88323617656226,4.53431067187339,0.037551452147439275,5,5,1,1133.7886962890625
cem,2048,2048,1,2048,1456.6607421875,229.26576653716123,0.38007577089592814,0.006142493474421882,5,5,3,1206.5225830078125
cem,2048,2048,2,1024,1338.9427978515625,75.41978895363115,0.6798218960873783,0.0069612928114672805,5,5,3,1236.2696533203125
cem,2048,2048,4,512,1433.163232421875,219.11869963486197,1.2556320738978684,0.010220083641584143,5,5,2,1151.9893798828125
cem,2048,2048,8,256,1341.621875,232.77100209296043,2.3493362648412583,0.021786932244730512,5,5,1,1114.2275390625
cem,2048,2048,16,128,1223.989501953125,105.29708199056853,4.613934813812375,0.039910879179244046,5,5,1,1049.41552734375
cem,4096,4096,1,4096,1450.0612548828126,184.05000654195536,0.420148027036339,0.005216531074274515,5,5,3,1260.671630859375
cem,4096,4096,2,2048,1416.3320068359376,267.46623549917615,0.7551244902424514,0.00578470438691864,5,5,1,1077.8314208984375
cem,4096,4096,4,1024,1474.870458984375,328.5376282570369,1.3763313950039446,0.011404317573793083,5,5,1,1153.8525390625
cem,4096,4096,8,512,1358.483251953125,71.04960811779438,2.5511851998977364,0.010864654358087422,5,5,4,1257.87451171875
cem,4096,4096,16,256,1378.7033203125,194.43813415831332,4.753900048322976,0.03230129360566098,5,5,2,1131.0758056640625
cem,8192,8192,1,8192,1398.4658935546875,52.215681465696456,0.4795577949844301,0.004638154120558735,5,5,3,1348.08349609375
cem,8192,8192,2,4096,1438.4453125,217.90058086208987,0.8359622437506914,0.0045866252008819365,5,5,3,1144.5714111328125
cem,8192,8192,4,2048,1371.071044921875,174.00514258875606,1.5328432352282106,0.006315825058182208,5,5,2,1171.082763671875
cem,8192,8192,8,1024,1346.8579956054687,343.708190305851,2.6845591362565755,0.013714394494665612,5,5,4,1010.9314575195312
cem,8192,8192,16,512,1320.2409423828126,229.25351547978204,4.973597483243793,0.006911897994539675,5,5,3,1135.1898193359375
ps,512,512,1,512,2769.66875,707.5082348783944,0.3198627264238894,0.005140281511118346,5,5,2,1721.991943359375
ps,512,512,2,256,1839.929296875,627.7280702924126,0.5824055260047316,0.005337852360566312,5,5,0,1342.4259033203125
ps,512,512,4,128,1371.083935546875,221.7521363946336,1.1521671469323338,0.008817319416139759,5,5,0,1057.158203125
ps,512,512,8,64,1592.2034423828125,522.0324171366699,2.266065649408847,0.01447399629724304,5,5,3,1159.6497802734375
ps,512,512,16,32,1444.4287841796875,330.237647183708,4.857980346493423,0.01758525089845117,5,5,2,1087.8919677734375
ps,1024,1024,1,1024,1954.474951171875,552.4479317489613,0.33681629300117494,0.0035254547079606336,5,5,1,1333.75048828125
ps,1024,1024,2,512,1393.6677734375,340.06250610145827,0.6298171577975153,0.004931802353300039,5,5,1,1027.576416015625
ps,1024,1024,4,256,1312.184130859375,229.6772123832712,1.1981270027346909,0.01403255082172803,5,5,1,1027.1409912109375
ps,1024,1024,8,128,1218.3353759765625,162.3732284194226,2.302031687926501,0.006145101211421023,5,5,4,1076.1187744140625
ps,1024,1024,16,64,1436.9470703125,167.72491361251403,4.460087810177356,0.00261153097750046,5,5,4,1164.927001953125
ps,2048,2048,1,2048,2601.2828125,479.793785987968,0.3782907913438976,0.00242764405362557,5,5,1,1893.607421875
ps,2048,2048,2,1024,1359.671337890625,80.74811770345133,0.6649547558277845,0.005664654764066258,5,5,0,1298.192626953125
ps,2048,2048,4,512,1211.449755859375,147.56079788290168,1.2607842456549405,0.005525995087611808,5,5,0,1060.08154296875
ps,2048,2048,8,256,1158.5213256835937,238.2619601843066,2.3362763576209544,0.010706200382482147,5,5,4,898.3516235351562
ps,2048,2048,16,128,1463.53154296875,519.0274801783545,4.578284962009638,0.013793110263420118,5,5,4,1055.3974609375
ps,4096,4096,1,4096,1917.92392578125,642.4821336506303,0.42544849393889306,0.005413149224269618,5,5,2,1234.0274658203125
ps,4096,4096,2,2048,1267.7109619140624,474.4434101504325,0.744346628151834,0.0013831847998748029,5,5,3,848.9376220703125
ps,4096,4096,4,1024,1079.8644653320312,146.30932705982522,1.349164155125618,0.00153480779578504,5,5,3,893.7041015625
ps,4096,4096,8,512,1210.1740966796874,260.63768604283746,2.532449556514621,0.025136740069337367,5,5,0,981.4094848632812
ps,4096,4096,16,256,1193.149560546875,64.97530762570752,4.681378178391606,0.0197187825919127,5,5,2,1147.0062255859375
ps,8192,8192,1,8192,1700.5594970703125,454.83801163460754,0.47663996610790493,0.004795672867073682,5,5,0,1274.17333984375
ps,8192,8192,2,4096,1285.305078125,325.61814114486043,0.8367219330742955,0.002566999529939,5,5,1,1026.7657470703125
ps,8192,8192,4,2048,1063.3417114257813,124.73330077724258,1.498810793273151,0.0028251080161001045,5,5,4,876.8213500976562
ps,8192,8192,8,1024,1074.203369140625,82.08034964581795,2.7035076398402453,0.001805342178020549,5,5,1,996.7229614257812
ps,8192,8192,16,512,1112.47275390625,125.71275091239511,5.03857459006831,0.005380637243181261,5,5,3,1029.082275390625
dial,512,512,1,512,3182.166357421875,716.3499650443374,0.3155483563430607,0.004144996463600496,5,5,3,2266.94482421875
dial,512,512,2,256,1558.726318359375,192.38063418819468,0.5754626421257854,0.003325063990021254,5,5,2,1276.8843994140625
dial,512,512,4,128,1449.5758056640625,378.07081852787934,1.1357861787080765,0.0032058019345176368,5,5,3,1090.1097412109375
dial,512,512,8,64,1296.64130859375,116.26234171508567,2.2258760763332246,0.002247681153524177,5,5,3,1114.5361328125
dial,512,512,16,32,1229.6330078125,172.49298710999471,4.795355065725744,0.003974493238126103,5,5,0,1068.273681640625
dial,1024,1024,1,1024,1556.093701171875,487.572929440044,0.336678874399513,0.003727517494322921,5,5,3,1235.822021484375
dial,1024,1024,2,512,1538.3658447265625,488.63183556627604,0.6274320293217898,0.0022133273732360503,5,5,4,1111.9256591796875
dial,1024,1024,4,256,1364.8983154296875,206.837966320995,1.160571331344545,0.00954816672412961,5,5,0,1104.1456298828125
dial,1024,1024,8,128,1303.283251953125,254.9377508347739,2.2787965636700394,0.03183175943181263,5,5,0,1095.7545166015625
dial,1024,1024,16,64,1222.0582641601563,198.13893554056315,4.505295552965253,0.03457431792398658,5,5,4,978.8784790039062
dial,2048,2048,1,2048,1749.0187744140626,408.224064308915,0.37547456854954364,0.005162133341111994,5,5,2,1385.38720703125
dial,2048,2048,2,1024,1395.444482421875,315.34371426782445,0.6768883974291384,0.010673708892433806,5,5,2,979.3897705078125
dial,2048,2048,4,512,1473.98828125,258.4356386222743,1.302302544284612,0.01946251874412958,5,5,2,1118.218505859375
dial,2048,2048,8,256,1223.5243896484376,210.61135834439895,2.3978687902912497,0.04006968538523648,5,5,1,1018.354248046875
dial,2048,2048,16,128,1102.5545776367187,229.4572010691029,4.626715489756316,0.04978560011580922,5,5,1,940.583740234375
dial,4096,4096,1,4096,1969.3269775390625,848.4196018339201,0.41945786904543636,0.003110108095441972,5,5,3,1213.8182373046875
dial,4096,4096,2,2048,1183.5460205078125,306.4744973042232,0.7369906562380493,0.0042242107176880235,5,5,0,749.47998046875
dial,4096,4096,4,1024,1183.478662109375,164.7370934493973,1.3288789332844317,0.0019428624049129472,5,5,3,942.7294921875
dial,4096,4096,8,512,1243.1513916015624,85.99386465437337,2.4794736612588166,0.00036825210761731356,5,5,4,1115.999755859375
dial,4096,4096,16,256,1145.255078125,160.63816112096816,4.629693263582885,0.00810446531052864,5,5,0,946.7442626953125
dial,8192,8192,1,8192,1668.377587890625,525.1357764738651,0.4735144040547311,0.0038224378832184503,5,5,1,1173.9810791015625
dial,8192,8192,2,4096,1162.2104370117188,468.05956965879557,0.8286585278809071,0.004189053335449574,5,5,4,705.6256713867188
dial,8192,8192,4,2048,1291.59833984375,260.80134060010005,1.492262582667172,0.0044761730907178525,5,5,1,1051.1710205078125
dial,8192,8192,8,1024,1131.5133056640625,231.05399156545033,2.6676570157520474,0.0010782387206024209,5,5,4,880.0505981445312
dial,8192,8192,16,512,1090.3649047851563,117.27710893518406,4.960863886401057,0.010804204214685163,5,5,1,923.4585571289062
